 valore (-1;0) , punti (-1;0) , memoria (-1;0) , valore (1;0) , punti (1;0) , memoria (1;0) , valore (0;-1) , punti (0;-1) , memoria (0;-1) , valore (0;1) , punti (0;1) , memoria (0;1) , valore (0;0) , punti (0;0) , memoria (0;0) , valore new, punti new, memoria new
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,9,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,5,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,1.050000,10,0,0.000000,10,0,0.000000,10
0,1.050000,4,0,0.000000,10,0,0.000000,10,1,2.000000,5,0,1.050000,10,0,1.050000,10
1,2.000000,4,0,1.050000,10,0,1.050000,10,1,3.000000,10,1,2.000000,5,1,2.000000,6
1,3.000000,10,0,2.100000,9,1,2.000000,5,1,4.000000,10,1,3.000000,10,1,3.000000,10
1,3.000000,10,1,2.000000,1,1,3.000000,10,1,4.000000,10,1,4.000000,10,1,4.000000,10
0,2.000000,0,1,2.000000,1,1,4.000000,10,1,1.000000,1,1,4.000000,10,1,3.000000,10
0,2.100000,2,0,2.100000,10,1,4.000000,10,0,1.050000,10,1,1.000000,1,1,1.000000,2
0,0.000000,2,0,1.050000,10,1,1.000000,1,0,0.000000,10,0,1.050000,10,0,1.050000,10
0,0.000000,10,0,1.050000,10,0,1.050000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,1.050000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,1.050000,1,0,0.000000,10,0,1.050000,1,0,0.000000,10,0,0.000000,10
0,0.000000,10,1,2.000000,7,0,0.000000,10,1,1.050000,0,0,1.050000,1,0,2.100000,2
0,0.000000,10,0,2.000000,0,0,1.050000,1,0,0.000000,10,1,1.050000,0,0,0.000000,0
0,0.000000,10,0,2.100000,1,1,1.050000,0,0,1.050000,10,0,0.000000,10,0,1.050000,10
0,0.000000,10,1,2.000000,2,0,0.000000,10,0,2.100000,10,0,1.050000,10,0,1.050000,10
0,0.000000,10,1,3.000000,2,0,1.050000,10,1,1.000000,1,0,2.100000,10,0,2.100000,10
0,1.050000,10,1,4.000000,7,0,2.100000,10,0,2.100000,10,1,1.000000,1,0,1.000000,0
0,0.000000,10,1,2.000000,7,1,1.000000,1,0,0.000000,10,0,2.100000,10,0,2.100000,10
0,0.000000,10,0,1.050000,10,0,2.100000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10,0,0.000000,10
0,1.050000,10,0,1.050000,10,0,0.000000,10,0,3.150000,10,0,0.000000,10,0,0.000000,10
1,1.000000,0,1,2.000000,3,0,0.000000,10,1,3.000000,7,0,3.150000,10,0,3.150000,10
1,3.000000,1,1,4.000000,8,0,3.150000,10,1,4.000000,7,1,3.000000,7,1,3.000000,8
1,3.000000,1,1,4.000000,10,1,3.000000,7,1,3.000000,7,1,4.000000,7,1,4.000000,8
1,2.000000,1,1,4.000000,10,1,4.000000,7,0,2.100000,9,1,3.000000,7,1,3.000000,8
0,1.050000,10,1,2.000000,3,1,3.000000,7,0,0.000000,10,0,2.100000,9,0,2.100000,10
0,0.000000,10,0,3.150000,1,0,2.100000,9,0,1.050000,10,0,0.000000,10,0,0.000000,10
0,1.050000,10,0,1.000000,0,0,0.000000,10,0,1.050000,10,0,1.050000,10,0,0.000000,10
1,1.000000,0,0,1.050000,10,0,1.050000,10,0,1.050000,1,0,1.050000,10,0,1.050000,10
1,2.000000,5,0,0.000000,3,0,1.050000,10,0,2.100000,3,0,1.050000,1,0,1.050000,2
1,2.000000,8,0,1.050000,1,0,1.050000,1,1,3.000000,10,0,2.100000,3,0,2.100000,4
